id,label,summary
breathe.v.01,breathe||breathe.v.01,"draw air into, and expel out of, the lungs"
respire.v.02,respire||respire.v.02,undergo the biomedical and metabolic processes of respiration by taking up oxygen and producing carbon monoxide
respire.v.01,respire||respire.v.01,"breathe easily again, as after exertion or anxiety"
choke.v.01,choke||choke.v.01,"breathe with great difficulty, as when experiencing a strong emotion"
hyperventilate.v.02,hyperventilate||hyperventilate.v.02,breathe excessively hard and fast
hyperventilate.v.01,hyperventilate||hyperventilate.v.01,produce hyperventilation in
aspirate.v.03,aspirate||aspirate.v.03,suck in (air)
burp.v.01,burp||burp.v.01,expel gas from the stomach
force_out.v.08,force_out||force_out.v.08,emit or cause to move with force of effort
hiccup.v.01,hiccup||hiccup.v.01,"breathe spasmodically, and make a sound"
sigh.v.01,sigh||sigh.v.01,heave or utter a sigh; breathe deeply and heavily
exhale.v.01,exhale||exhale.v.01,expel air
hold.v.36,hold||hold.v.36,keep from exhaling or expelling
exhale.v.02,exhale||exhale.v.02,give out (breath or an odor)
sneeze.v.01,sneeze||sneeze.v.01,"exhale spasmodically, as when an irritant entered one's nose"
inhale.v.02,inhale||inhale.v.02,draw in (air)
pant.v.01,pant||pant.v.01,"breathe noisily, as when one is exhausted"
cough.v.01,cough||cough.v.01,"exhale abruptly, as when one has a chest cold or congestion"
hack.v.08,hack||hack.v.08,cough spasmodically
expectorate.v.02,expectorate||expectorate.v.02,discharge (phlegm or sputum) from the lungs and out of the mouth
snort.v.02,snort||snort.v.02,make a snorting sound by exhaling hard
wheeze.v.01,wheeze||wheeze.v.01,breathe with difficulty
puff.v.08,puff||puff.v.08,blow hard and loudly
blow.v.01,blow||blow.v.01,exhale hard
insufflate.v.03,insufflate||insufflate.v.03,blow or breathe hard on or into
yawn.v.01,yawn||yawn.v.01,"utter a yawn, as from lack of oxygen or when one is tired"
sniff.v.02,sniff||sniff.v.02,inhale audibly through the nose
blink.v.01,blink||blink.v.01,briefly shut the eyes
palpebrate.v.01,palpebrate||palpebrate.v.01,"wink or blink, especially repeatedly"
bat.v.02,bat||bat.v.02,wink briefly
wink.v.01,wink||wink.v.01,signal by winking
wink.v.04,wink||wink.v.04,force to go away by blinking
squint.v.01,squint||squint.v.01,cross one's eyes as if in strabismus
squint.v.03,squint||squint.v.03,"partly close one's eyes, as when hit by direct blinding light"
wince.v.02,wince||wince.v.02,make a face indicating disgust or dislike
shed.v.04,shed||shed.v.04,"cast off hair, skin, horn, or feathers"
desquamate.v.01,desquamate||desquamate.v.01,peel off in scales
twitch.v.01,twitch||twitch.v.01,"make an uncontrolled, short, jerky motion"
fibrillate.v.01,fibrillate||fibrillate.v.01,"make fine, irregular, rapid twitching movements"
move_involuntarily.v.01,move_involuntarily||move_involuntarily.v.01,move in an uncontrolled manner
act_involuntarily.v.01,act_involuntarily||act_involuntarily.v.01,act in an uncontrolled manner
act.v.02,act||act.v.02,behave in a certain manner; show a certain behavior; conduct or comport oneself
fall_over_backwards.v.01,fall_over_backwards||fall_over_backwards.v.01,try very hard to please someone
presume.v.04,presume||presume.v.04,take liberties or act with too much confidence
vulgarize.v.03,vulgarize||vulgarize.v.03,act in a vulgar manner
optimize.v.03,optimize||optimize.v.03,act as an optimist and take a sunny view of the world
quack.v.02,quack||quack.v.02,act as a medical quack or a charlatan
menace.v.03,menace||menace.v.03,act in a threatening manner
make.v.19,make||make.v.19,act in a certain way so as to acquire
swagger.v.03,swagger||swagger.v.03,"act in an arrogant, overly self-assured, or conceited manner"
freeze.v.10,freeze||freeze.v.10,suddenly behave coldly and formally
wanton.v.06,wanton||wanton.v.06,behave extremely cruelly and brutally
romanticize.v.03,romanticize||romanticize.v.03,act in a romantic way
sentimentalise.v.03,sentimentalise||sentimentalise.v.03,act in a sentimental way or indulge in sentimental thoughts or expression
bungle.v.02,bungle||bungle.v.02,spoil by behaving clumsily or foolishly
play.v.16,play||play.v.16,engage in an activity as if it were a game rather than take it seriously
act.v.05,act||act.v.05,pretend to have certain qualities or state of mind
stooge.v.03,stooge||stooge.v.03,"act as a stooge, in a compliant or subordinate manner"
shake.v.02,shake||shake.v.02,move with or as if with a tremor
shiver.v.02,shiver||shiver.v.02,"shake, as from cold"
rest.v.05,rest||rest.v.05,be at rest
be_active.v.01,be_active||be_active.v.01,be in a state of action
sleep.v.01,sleep||sleep.v.01,be asleep
bundle.v.04,bundle||bundle.v.04,sleep fully clothed in the same bed with one's betrothed
snooze.v.01,snooze||snooze.v.01,sleep lightly or for a short period of time
nap.v.01,nap||nap.v.01,take a siesta
oversleep.v.01,oversleep||oversleep.v.01,sleep longer than intended
sleep_late.v.01,sleep_late||sleep_late.v.01,sleep later than usual or customary
hibernate.v.01,hibernate||hibernate.v.01,sleep during winter
estivate.v.01,estivate||estivate.v.01,sleep during summer
drowse.v.02,drowse||drowse.v.02,be on the verge of sleeping
nod.v.05,nod||nod.v.05,be almost asleep
nod.v.03,nod||nod.v.03,let the head fall forward through drowsiness
zonk_out.v.02,zonk_out||zonk_out.v.02,"fall asleep fast, as when one is extremely tired"
snore.v.01,snore||snore.v.01,breathe noisily during one's sleep
fall_asleep.v.01,fall_asleep||fall_asleep.v.01,change from a waking to a sleeping state
bed_down.v.01,bed_down||bed_down.v.01,go to bed
doss.v.01,doss||doss.v.01,sleep in a convenient place
go_to_bed.v.01,go_to_bed||go_to_bed.v.01,prepare for sleep
get_up.v.02,get_up||get_up.v.02,get up and out of bed
get_up.v.04,get_up||get_up.v.04,cause to rise
wake_up.v.02,wake_up||wake_up.v.02,stop sleeping
awaken.v.01,awaken||awaken.v.01,cause to become awake or conscious
reawaken.v.01,reawaken||reawaken.v.01,awaken once again
cause_to_sleep.v.01,cause_to_sleep||cause_to_sleep.v.01,make fall asleep
affect.v.02,affect||affect.v.02,act physically on; have an effect upon
attack.v.06,attack||attack.v.06,begin to injure
ulcerate.v.02,ulcerate||ulcerate.v.02,affect with an ulcer
wake.v.01,wake||wake.v.01,"be awake, be alert, be there"
stay_up.v.01,stay_up||stay_up.v.01,not go to bed
keep_up.v.05,keep_up||keep_up.v.05,prevent from going to bed at night
hypnotize.v.01,hypnotize||hypnotize.v.01,induce hypnosis in
entrance.v.02,entrance||entrance.v.02,put into a trance
anesthetize.v.01,anesthetize||anesthetize.v.01,administer an anesthetic drug to
etherize.v.01,etherize||etherize.v.01,anesthetize with ether
cocainize.v.01,cocainize||cocainize.v.01,anesthetize with cocaine
chloroform.v.01,chloroform||chloroform.v.01,anesthetize with chloroform
freeze.v.09,freeze||freeze.v.09,anesthetize by cold
bring_to.v.01,bring_to||bring_to.v.01,return to consciousness
sedate.v.01,sedate||sedate.v.01,cause to be calm or quiet as by administering a sedative to
stimulate.v.04,stimulate||stimulate.v.04,cause to be alert and energetic
de-energize.v.01,de-energize||de-energize.v.01,deprive of energy
cathect.v.01,cathect||cathect.v.01,inject with libidinal energy
perk_up.v.01,perk_up||perk_up.v.01,gain or regain energy
faint.v.01,faint||faint.v.01,"pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain"
zonk_out.v.01,zonk_out||zonk_out.v.01,"lose consciousness due to a sudden trauma, for example"
come_to.v.04,come_to||come_to.v.04,return to consciousness
animate.v.04,animate||animate.v.04,give new life or energy to
refresh.v.04,refresh||refresh.v.04,make fresh again
freshen.v.02,freshen||freshen.v.02,become or make oneself fresh again
wash_up.v.01,wash_up||wash_up.v.01,wash one's face and hands
tense.v.04,tense||tense.v.04,cause to be tense and uneasy or nervous or anxious
crick.v.01,crick||crick.v.01,twist (a body part) into a strained position
relax.v.04,relax||relax.v.04,cause to feel relaxed
unbend.v.06,unbend||unbend.v.06,"release from mental strain, tension, or formality"
tense.v.03,tense||tense.v.03,"become tense, nervous, or uneasy"
relax.v.01,relax||relax.v.01,"become less tense, rest, or take one's ease"
vege_out.v.01,vege_out||vege_out.v.01,engage in passive relaxation
sit_back.v.01,sit_back||sit_back.v.01,settle into a comfortable sitting position
limber_up.v.02,limber_up||limber_up.v.02,"make one's body limber or suppler by stretching, as if to prepare for strenuous physical activity"
stretch.v.02,stretch||stretch.v.02,"extend one's limbs or muscles, or the entire body"
spread-eagle.v.01,spread-eagle||spread-eagle.v.01,stretch out completely
exsert.v.01,exsert||exsert.v.01,thrust or extend out
hyperextend.v.01,hyperextend||hyperextend.v.01,extend a joint beyond its normal range
crane.v.01,crane||crane.v.01,stretch (the neck) so as to see better
invigorate.v.04,invigorate||invigorate.v.04,"impart vigor, strength, or vitality to"
smile.v.01,smile||smile.v.01,"change one's facial expression by spreading the lips, often to signal pleasure"
dimple.v.02,dimple||dimple.v.02,produce dimples while smiling
grin.v.01,grin||grin.v.01,"to draw back the lips and reveal the teeth, in a smile, grimace, or snarl"
beam.v.01,beam||beam.v.01,smile radiantly; express joy through one's facial expression
smirk.v.01,smirk||smirk.v.01,smile affectedly or derisively
fleer.v.01,fleer||fleer.v.01,to smirk contemptuously
